global_step,epoch,loss,learning_rate,correctness_reward,format_reward,total_reward,num_samples
1,0.008,0.0014814399182796478,5e-06,0.8147706389427185,1.0,1.0147706389427185,4
2,0.016,0.0012832172214984894,4.960000000000001e-06,0.6966574192047119,0.5833333333333333,0.8133240858713786,4
3,0.024,0.0014194883406162262,4.92e-06,0.7974902093410492,0.8333333333333333,0.9641568760077159,4
4,0.032,0.0051108840852975845,4.880000000000001e-06,0.6528212130069733,0.5833333333333333,0.7694878796736399,4
5,0.04,0.011844348162412643,4.84e-06,0.6530660539865494,0.9166666666666666,0.8363993873198827,4
6,0.048,0.008779354393482208,4.800000000000001e-06,0.6644278913736343,0.8333333333333333,0.831094558040301,4
7,0.056,0.00755435973405838,4.76e-06,0.8007265776395798,0.6666666666666666,0.9340599109729131,4
8,0.064,0.007813237607479095,4.7200000000000005e-06,0.6583104282617569,0.6666666666666666,0.7916437615950902,4
9,0.072,0.007640519179403782,4.680000000000001e-06,0.7748163193464279,0.6666666666666666,0.9081496526797612,4
10,0.08,0.007848294451832771,4.6400000000000005e-06,0.383396252989769,0.8333333333333333,0.5500629196564356,4
11,0.088,0.009306713938713074,4.600000000000001e-06,0.7341033965349197,0.5,0.8341033965349197,4
12,0.096,0.00945138931274414,4.56e-06,0.7508766502141953,0.7499999999999999,0.9008766502141953,4
13,0.104,0.009168770164251328,4.520000000000001e-06,0.6194542832672596,0.7499999999999999,0.7694542832672596,4
14,0.112,0.009557858109474182,4.48e-06,0.8384953737258911,0.7499999999999999,0.988495373725891,4
15,0.12,0.010968925431370735,4.440000000000001e-06,0.6318899095058441,0.6666666666666666,0.7652232428391774,4
16,0.128,0.012269064784049988,4.4e-06,0.5901176482439041,0.9166666666666666,0.7734509815772375,4
17,0.136,0.011373758316040039,4.360000000000001e-06,0.6594373881816864,0.6666666666666666,0.7927707215150197,4
18,0.144,0.01468287780880928,4.32e-06,0.8183834999799728,0.6666666666666666,0.9517168333133061,4
19,0.152,0.013259035535156727,4.2800000000000005e-06,0.7292872816324234,0.9166666666666666,0.9126206149657567,4
20,0.16,0.015712063759565353,4.24e-06,0.8125504851341248,0.8333333333333333,0.9792171518007915,4
21,0.168,0.0174025259912014,4.2000000000000004e-06,0.8246584981679916,0.9166666666666666,1.007991831501325,4
22,0.176,0.01759740710258484,4.16e-06,0.4030877575278282,0.6666666666666666,0.5364210908611615,4
23,0.184,0.02154657244682312,4.12e-06,0.6934708654880524,0.8333333333333333,0.860137532154719,4
24,0.192,0.017851613461971283,4.08e-06,0.7733938843011856,0.41666666666666663,0.856727217634519,4
25,0.2,0.023761877790093422,4.04e-06,0.5068810284137726,0.7499999999999999,0.6568810284137725,4
26,0.208,0.01762745901942253,4.000000000000001e-06,0.6960680037736893,0.5,0.7960680037736892,4
27,0.216,0.019615665078163147,3.96e-06,0.7687188684940338,0.5833333333333333,0.8853855351607004,4
28,0.224,0.02296360582113266,3.920000000000001e-06,0.7114637345075607,0.5833333333333333,0.8281304011742273,4
29,0.232,0.024681296199560165,3.88e-06,0.8521086573600769,0.8333333333333333,1.0187753240267434,4
30,0.24,0.020284730941057205,3.8400000000000005e-06,0.7323130518198013,0.6666666666666666,0.8656463851531346,4
31,0.248,0.02352002263069153,3.8000000000000005e-06,0.6784141957759857,0.9166666666666666,0.861747529109319,4
32,0.256,0.02237347885966301,3.7600000000000004e-06,0.7483897656202316,0.75,0.8983897656202315,4
33,0.264,0.020347896963357925,3.7200000000000004e-06,0.6564557701349258,0.41666666666666663,0.7397891034682591,4
34,0.272,0.027459338307380676,3.6800000000000003e-06,0.6557863056659698,0.9166666666666666,0.8391196389993032,4
35,0.28,0.02246376872062683,3.6400000000000003e-06,0.7720149010419846,0.9166666666666666,0.9553482343753179,4
36,0.288,0.026056230068206787,3.6000000000000003e-06,0.49962663650512695,0.49999999999999994,0.5996266365051269,4
37,0.296,0.028548918664455414,3.5600000000000002e-06,0.721265435218811,0.7499999999999999,0.8712654352188111,4
38,0.304,0.03110666200518608,3.52e-06,0.6390555500984192,0.9166666666666666,0.8223888834317525,4
39,0.312,0.028906166553497314,3.48e-06,0.8071775138378143,0.8333333333333333,0.973844180504481,4
40,0.32,0.02460882067680359,3.44e-06,0.7314429134130478,0.8333333333333334,0.8981095800797145,4
41,0.328,0.024246226996183395,3.4000000000000005e-06,0.89322729408741,0.9166666666666666,1.0765606274207433,4
42,0.336,0.025729797780513763,3.3600000000000004e-06,0.8328399062156677,0.5833333333333334,0.9495065728823344,4
43,0.344,0.024970613420009613,3.3200000000000004e-06,0.7928720265626907,0.7499999999999999,0.9428720265626908,4
44,0.352,0.02938000112771988,3.2800000000000004e-06,0.8730753809213638,0.7499999999999999,1.0230753809213637,4
45,0.36,0.02590460330247879,3.2400000000000003e-06,0.8229556083679199,0.9166666666666666,1.0062889417012533,4
46,0.368,0.02859778329730034,3.2000000000000003e-06,0.7855053395032883,0.7499999999999999,0.9355053395032883,4
47,0.376,0.029942510649561882,3.1600000000000002e-06,0.6792827844619751,0.6666666666666666,0.8126161177953084,4
48,0.384,0.02913241647183895,3.12e-06,0.5805377960205078,0.8333333333333333,0.7472044626871746,4
49,0.392,0.02415177784860134,3.08e-06,0.615694522857666,0.75,0.7656945228576659,4
50,0.4,0.031007278710603714,3.04e-06,0.5140994787216187,1.0,0.7140994787216186,4
51,0.408,0.026768311858177185,3e-06,0.618586853146553,0.5,0.718586853146553,4
52,0.416,0.02868957258760929,2.96e-06,0.7570554465055466,0.41666666666666663,0.8403887798388798,4
53,0.424,0.030784327536821365,2.92e-06,0.5025871619582176,0.7499999999999999,0.6525871619582175,4
54,0.432,0.02732110396027565,2.88e-06,0.8844018131494522,0.8333333333333333,1.0510684798161187,4
55,0.44,0.02773396670818329,2.84e-06,0.6958392858505249,0.6666666666666666,0.8291726191838582,4
56,0.448,0.034611500799655914,2.8000000000000003e-06,0.8299274742603302,1.0,1.0299274742603302,4
57,0.456,0.025018272921442986,2.7600000000000003e-06,0.666269525885582,0.5833333333333334,0.7829361925522487,4
58,0.464,0.029300302267074585,2.7200000000000002e-06,0.7191878408193588,0.5,0.8191878408193588,4
59,0.472,0.041015543043613434,2.68e-06,0.5497845113277435,0.9166666666666666,0.7331178446610769,4
60,0.48,0.03285302221775055,2.64e-06,0.5599779486656189,0.8333333333333333,0.7266446153322856,4
61,0.488,0.030058080330491066,2.6e-06,0.7851676791906357,0.8333333333333333,0.9518343458573023,4
62,0.496,0.030023911967873573,2.56e-06,0.6918551325798035,0.75,0.8418551325798034,4
63,0.504,0.03194607421755791,2.52e-06,0.6262392848730087,0.9166666666666666,0.809572618206342,4
64,0.512,0.032039470970630646,2.4800000000000004e-06,0.6328784078359604,0.6666666666666666,0.7662117411692937,4
65,0.52,0.03277639299631119,2.4400000000000004e-06,0.7894429266452789,0.3333333333333333,0.8561095933119456,4
66,0.528,0.03168421611189842,2.4000000000000003e-06,0.6300224363803864,0.8333333333333333,0.796689103047053,4
