global_step,epoch,loss,learning_rate,correctness_reward,format_reward,total_reward,num_samples
1,0.008,0.037804923951625824,5e-06,0.7026777565479279,0.5,0.8026777565479278,2
2,0.016,0.034753695130348206,4.960000000000001e-06,0.6332967281341553,0.6666666666666666,0.7666300614674886,2
3,0.024,0.037155382335186005,4.92e-06,0.5658604204654694,0.6666666666666666,0.6991937537988027,2
4,0.032,0.03063775599002838,4.880000000000001e-06,0.7868331074714661,0.6666666666666666,0.9201664408047994,2
5,0.04,0.03615725785493851,4.84e-06,0.6921560168266296,0.5,0.7921560168266296,2
6,0.048,0.034064941108226776,4.800000000000001e-06,0.8495105803012848,0.6666666666666666,0.9828439136346181,2
7,0.056,0.03141976147890091,4.76e-06,0.7783800661563873,0.5,0.8783800661563873,2
8,0.064,0.029074862599372864,4.7200000000000005e-06,0.8989118039608002,0.5,0.9989118039608001,2
9,0.072,0.033976078033447266,4.680000000000001e-06,0.2915804088115692,0.6666666666666666,0.4249137421449025,2
10,0.08,0.0349586084485054,4.6400000000000005e-06,0.5187022387981415,0.5,0.6187022387981415,2
11,0.088,0.03206425905227661,4.600000000000001e-06,0.7818295359611511,0.5,0.8818295359611511,2
12,0.096,0.03713102638721466,4.56e-06,0.7679516673088074,0.6666666666666666,0.9012850006421407,2
13,0.104,0.04193047434091568,4.520000000000001e-06,0.6947928965091705,0.6666666666666666,0.8281262298425038,2
14,0.112,0.0362895131111145,4.48e-06,0.7889373302459717,0.6666666666666666,0.922270663579305,2
15,0.12,0.03152937442064285,4.440000000000001e-06,0.8069231510162354,0.6666666666666666,0.9402564843495687,2
16,0.128,0.030843324959278107,4.4e-06,0.8012863397598267,0.6666666666666666,0.93461967309316,2
17,0.136,0.03598760813474655,4.360000000000001e-06,0.7888603508472443,0.6666666666666666,0.9221936841805776,2
18,0.144,0.04390818625688553,4.32e-06,0.5037380307912827,0.6666666666666666,0.637071364124616,2
19,0.152,0.02897823601961136,4.2800000000000005e-06,0.48198696970939636,0.5,0.5819869697093963,2
20,0.16,0.03024851530790329,4.24e-06,0.7158536016941071,0.5,0.815853601694107,2
21,0.168,0.030894607305526733,4.2000000000000004e-06,0.5553295612335205,0.6666666666666666,0.6886628945668538,2
22,0.176,0.03314824402332306,4.16e-06,0.7725765705108643,0.6666666666666666,0.9059099038441976,2
23,0.184,0.02862796187400818,4.12e-06,0.7629306614398956,0.5,0.8629306614398956,2
24,0.192,0.031302325427532196,4.08e-06,0.7335135042667389,0.6666666666666666,0.8668468376000722,2
25,0.2,0.03453720360994339,4.04e-06,0.6856516301631927,0.5,0.7856516301631927,2
